"name","profit","combined_rating","app_price","play_price","genre"
"Zombie Catchers",464600,4.60,0.00,"0","Games"
"Plants vs. Zombies™ 2",450200,4.45,0.00,"0","Games"
"Plants vs. Zombies™ Heroes",450200,4.45,0.00,"0","Games"
"Zombie Tsunami",450200,4.45,0.00,"0","Games"
