"name","profit","combined_rating","app_price","play_price","genre"
"PicsArt Photo Studio: Collage Maker & Pic Editor",455000,4.50,0.00,"0","Photo & Video"
"Photo Editor by Aviary",450200,4.45,0.00,"0","Photo & Video"
"Photo Editor-",445400,4.40,0.00,"0","Photo & Video"
