"name","profit","combined_rating","app_price","play_price","genre"
"Candy Crush Saga",450200,4.45,0.00,"0","Games"
"Candy Crush Soda Saga",450200,4.45,0.00,"0","Games"
"Candy Crush Jelly Saga",421400,4.15,0.00,"0","Games"
